date,politician,medical,celebrity
2021-02-08,-0.3888888888888889,0.1450980392156863,NA
2021-02-09,-0.5,0.54,NA
2021-02-10,-1,0.4666666666666667,NA
2021-02-11,0.16666666666666666,0.2549019607843137,NA
2021-02-12,-1,0.40555555555555556,NA
2021-02-13,-0.6666666666666666,0.2633333333333333,NA
2021-02-14,NA,0.43333333333333335,NA
2021-02-15,NA,-0.09047619047619047,NA
2021-02-16,1,0.24666666666666667,NA
2021-02-17,0.5222222222222223,0.04370015948963318,1
2021-02-18,0.3333333333333333,0.39537414965986395,NA
2021-02-19,NA,0.051666666666666666,NA
2021-02-20,NA,0.07222222222222222,1
2021-02-21,1,-0.2,NA
2021-02-22,0.8888888888888888,0.6808080808080808,1
2021-02-23,NA,0.6132716049382716,NA
2021-02-24,0.6,0.3548872180451128,NA
2021-02-25,-0.5,0.43425925925925923,NA
2021-02-26,NA,0.26481481481481484,NA
2021-02-27,0.5,0.7,NA
2021-02-28,0,0.11904761904761904,NA
2021-03-01,0.4,0.8818181818181818,NA
2021-03-02,0.2,0.430952380952381,NA
2021-03-03,-1,0.7083333333333334,1
2021-03-04,0,0.4085714285714286,-1
2021-03-05,-0.35,0.4717948717948718,NA
2021-03-06,1,0.7428571428571429,NA
2021-03-07,NA,0.519047619047619,NA
2021-03-08,NA,0.43376623376623374,-1
2021-03-09,-1,0.6641269841269841,NA
2021-03-10,0.5,0.5333333333333333,NA
2021-03-11,-1,0.3223809523809524,1
2021-03-12,0.2,0.4,NA
2021-03-13,NA,0.017687074829931974,NA
2021-03-14,NA,-0.23809523809523808,NA
2021-03-15,NA,0.6823529411764706,NA
2021-03-16,NA,0.4756892230576441,NA
2021-03-17,-0.16666666666666666,0.2631578947368421,NA
2021-03-18,1,0.4013784461152882,NA
2021-03-19,0.3333333333333333,0.9238095238095239,1
2021-03-20,-1,0.46904761904761905,NA
2021-03-21,NA,0.5925925925925926,NA
2021-03-22,1,0.3433333333333333,NA
2021-03-23,0,0.07555555555555556,NA
2021-03-24,NA,0.4625,NA
2021-03-25,1,0.3272108843537415,NA
2021-03-26,NA,0.5738095238095238,NA
2021-03-27,NA,0.5714285714285714,NA
2021-03-28,0.7272727272727273,0.12275132275132275,NA
2021-03-29,0.3333333333333333,0.18546365914786966,NA
2021-03-30,-0.21428571428571427,0.2822222222222222,NA
2021-03-31,NA,0.1596866096866097,NA
2021-04-01,1,0.5395833333333333,1
2021-04-02,NA,0.5250329380764164,NA
2021-04-03,0.8333333333333333,0.2,NA
2021-04-04,NA,0.47916666666666663,NA
2021-04-05,0.55,0.3802083333333333,NA
2021-04-06,0.75,-0.10672268907563026,NA
2021-04-07,0.8785714285714286,0.3269230769230769,NA
2021-04-08,NA,0.5333333333333333,1
2021-04-09,1,0.382051282051282,0
2021-04-10,NA,0.3666666666666667,NA
2021-04-11,NA,0.1566137566137566,NA
2021-04-12,NA,0.493859649122807,NA
2021-04-13,0.08333333333333334,0.5406349206349206,NA
2021-04-14,0.7777777777777778,0.4652173913043478,NA
2021-04-15,1,0.22083333333333333,NA
2021-04-16,NA,0.31064425770308124,NA
2021-04-17,NA,0.02857142857142857,NA
2021-04-18,NA,0.49583333333333335,NA
2021-04-19,1,0.45555555555555555,NA
2021-04-20,0.55,0.5433333333333333,NA
2021-04-21,1,0.30995670995670993,NA
2021-04-22,0.08333333333333334,0.4666666666666667,NA
2021-04-23,NA,0.09206349206349206,NA
2021-04-24,NA,0.19523809523809524,NA
2021-04-25,NA,0.2777777777777778,NA
2021-04-26,NA,0.5688888888888889,NA
2021-04-27,0,0.4666666666666667,NA
2021-04-28,NA,0.2711111111111111,NA
2021-04-29,0.4722222222222222,0.44871794871794873,NA
